高中 生物 分子与细胞 组成细胞的化学元素 组成细胞的化合物,菠菜从土壤中吸收的氮元素可以用来合成（）A.淀粉和纤维素B.葡萄糖和DNAC.核酸和蛋白质D.麦芽糖和脂肪酸
高中 生物 稳态与环境 神经调节和体液调节的比较,下列有关生物体内信息传递的叙述，正确的是（）A下丘脑分泌的促甲状腺激素释放激素，可作用于甲状腺B小肠黏膜产生促胰液素，可作用于胰岛细胞C突触前膜释放神经递质，可作用于肌肉和某些腺体D燕麦幼根细胞分裂素含量较高，可促进乙烯的合成
高中 生物 生物技术实践 生物工程技术,从自然菌样筛选较理想生产菌种的一般步骤是：采集菌样→富集培养→纯种分离→性能测定．1.不同微生物的生存环境不同，获得理想微生物的第一步是从适合的环境采集菌样，然后再按一定的方法分离、纯化．培养嗜盐菌的菌样应从环境采集．2.富集培养指创设仅适合待分离微生物生长的特定环境条件，使其数量大大增加，从而分离出所需微生物的培养方法．对降解苯酚的微生物的富集培养应选择的培养基．3.如图为分离纯化降解苯酚细菌的部分操作步骤．请回答下列问题：培养基常用灭菌方法是在温度为℃条件下，维持15﹣30min．①是制备培养基时中的主要操作．完成步骤④的操作，接种共需要次的灼烧处理．划线的某个平板经培养后，第一划线区域的划线上都不间断地长满了菌落，第二划线区域的第一条线上无菌落，其它划线上有菌落．造成划线无菌落可能的操作失误有．4.培养一段时间后，在培养基表面形成多个单菌落，不同菌株降解苯酚能力有差异，需要做降解能力的性能测定，为选出降解能力强的菌株，具体思路是：．5.获得分解能力强的菌种后，为了临时保存菌种，把菌种接种在试管的培养基上，在合适温度下培养，等菌落长成后，再放入4℃冰箱保藏．
高中 生物 生物技术实践 生物技术在其他方面的应用 器官移植 复等位基因 胚胎移植 基因工程的概念 基因工程的原理及技术,目前，精子载体法逐渐成为具有诱惑力的制备转基因动物方法之一，该方法以精子作为外源基因的载体，使精子携带外源基因进入卵细胞受精．如图表示利用该方法制备转基因鼠的基本流程．请据图回答：1.精子载体法过程中外源基因能够整合到精子的上是提高转化率的关键，因为受精时只有精子的才能进入卵细胞中．2.过程②采用的是技术，卵细胞必需是培养到时期才能进行．3.利用转基因动物分泌的乳汁来生产药物的反应器是科学家用药用蛋白基因与的启动子等调控组件重组在一起，然后导入哺乳动物的受精卵中，最终生长发育成转基因动物．4.过程③中形成无毒环境的做法是；该过程通入氧气的目的是．
高中 地理 宇宙中的地球 地球运动的地理意义,某人想乘普通飞机在一年中连续过两次生日，你认为应穿越（）A赤道B两级C本初子午线D国际日期变更线
高中 地理 宇宙中的地球 太阳对地球的影响,关于太阳辐射对地球影响的叙述，正确的是（）A太阳放出的能量中到达地球的很多，成为地球表面自然环境变化的主要动力B太阳能是目前人类日常生活和生产所用的能源C太阳辐射能是地球上大气、水、生物和火山活动的主要动力D煤、石油、核能等能源在形成过程中固定了大量的太阳辐射能
高中 生物 分子与细胞 溶酶体的结构和功能 与细胞分裂有关的细胞器 高尔基体的结构和功能 中心体的结构和功能 液泡的结构和功能 内质网的结构和功能 核糖体的结构和功能 走进细胞,如图分别为两种细胞器的部分结构示意图，其中分析错误的是（）A.图a表示线粒体，[H]与氧结合形成水发生在有折叠的膜上B.图b表示叶绿体，直接参与光合作用的膜上有色素的分布C.两图代表的细胞器都与能量转换有关，并可共存于一个细胞D.两图所示的结构与ATP形成有关的酶都在内膜和基质中
高中 生物 生物科学与社会 不完全显性 人工授精、试管婴儿等生殖技术 生物性污染 避孕的原理和方法,如图为某遗传病的系谱图，以下判断正确的是（）A母亲肯定是纯合子，子女是杂合子B该遗传病女性发病率高于男性C该遗传病不可能是X染色体上的隐性遗传D子女中的致病基因不可能来自父亲
高中 历史 古代史 中央官制——三公九卿制 郡县制 “重农抑商”政策 夏商两代的政治制度 皇帝制度,1399年，明太祖朱元璋第四子燕王朱棣起兵反叛侄儿朱允炆，攻占都城南京，赶跑了当时明朝建文帝——朱允炆，登上皇帝宝座，史称明成祖。他虽然成功开创了中国封建历史上著名的“永乐盛世”，但后来封建史家仍以“篡位”视之，主要是因为他（）A.是以武力夺取皇位的B.违背了嫡长子继承制C.违背封建道德规范D.不符合封建史家的利益
高中 生物 分子与细胞 蛋白质的合成 组成细胞的化学元素 组成细胞的化合物,下列不属于蛋白质的是（）A.性激素B.淀粉酶C.胰岛素D.抗体
高中 生物 生物技术实践 生物技术在其他方面的应用 复等位基因 基因工程的概念 基因工程的原理及技术,Ti质粒上有T﹣DNA，这种DNA可以转移到受体细胞，这种DNA可以转移到受体细胞，并且整合到受体细胞染色体的DNA上．这种质粒存在于（）A大肠杆菌B农杆菌C酵母菌D苏云金芽孢杆菌
高中 地理 宇宙中的地球 地球运动的地理意义,广东省肇庆市七星岩仙女湖畔有一座长达1000多米的天然石山酷似一尊卧佛（卧佛头朝正北脚朝正南）。每年九、十月份都有几天在太阳下山时，可见到太阳徐徐从卧佛口中落下，形成“卧佛含丹”的地理奇观（如下图所示），欣赏“卧佛含丹”的奇观，应在“佛头”的（）方位A西南B东南C西北D东北
高中 生物 生物科学与社会 人工授精、试管婴儿等生殖技术 减数分裂与有丝分裂的比较 生物性污染 避孕的原理和方法,人类在正常情况下，男性产生的精子中常染色体数和性染色体种类的组合是（）A22+XYB22+XC44+XYD22+X或22+Y
高中 生物 生物科学与社会 生物技术在其他方面的应用 器官移植 复等位基因 胚胎移植 基因工程的概念 基因工程的原理及技术,请回答下列与基因工程、胚胎工程、生态工程有关的生物学问题：1.基因工程技术中获得目的基因后，利用PCR技术将该基因扩增，前提是要有一段已知目的基因的核苷酸序列，以便根据这一序列合成．PCR技术中需要的关键酶是．2.将目的基因导入植物细胞采用最多的方法是农杆菌转化法，农杆菌的作用是．我国培育的转基因抗虫棉发展迅猛，请写出分子水平检测抗虫棉基因是否表达的方法．3.体外受精是胚胎工程的重要环节，来自母方的卵母细胞要在输卵管内进一步成熟，达到时期，才具备与精子受精的能力．胚胎移植是胚胎工程最后一道工序，其重要意义是．4.桑基鱼塘生态系统能充分利用废弃物中的能量，形成无废弃物农业，这主要遵循了生态工程的原理．我国西北一些地区年降雨量较少，适宜种植灌木和草，却被硬性种植了属于乔木的杨树，结果许多杨树长得半死不活，防护林成为残败的“灰色长城”．其失败的原因主要是违背了原理．
高中 地理 人口与城市 人口增长与人口问题,造成X，Y两国人口增长模式差异的根本原因是（）A经济水平B教育水平C历史条件D自然条件
高中 历史 近代史 中央官制——三公九卿制 郡县制 “重农抑商”政策 夏商两代的政治制度 皇帝制度 文艺的春天,公元前六世纪到公元前四世纪是东西方哲学思想发展的重要时期，当时对儒家的“民本思想”与智者学派的“人文主义”思想出现的社会背景主要的不同是（）A.讨论主题不同B.诞生的政治氛围不同C.价值取向不同D.所处的历史阶段不同
高中 地理 宇宙中的地球 地球运动的地理意义,两幅图分别是两条大河的河口图，图中小岛因泥沙不断堆积而扩展，最终将与河的哪岸相连（）①甲岸②乙岸③丙岸④丁岸A①③B②③C①④D②④
高中 生物 生物科学与社会 避孕的原理和方法 遗传的分子基础 遗传的细胞基础 人工授精、试管婴儿等生殖技术 生物性污染 基因的自由组合规律的实质及应用,一种鹰的羽毛有条纹和非条纹、黄色和绿色的差异，已显示了鹰羽毛的杂交遗传，对此合理的解释是()①绿色对黄色完全显性②绿色对黄色不完全显性③控制羽毛性状的两对基因完全连锁④控制羽毛性状的两对基因自由组合A.①③B.①④C.②③D.②④
高中 地理 宇宙中的地球 太阳对地球的影响,太阳的大气层由里向外依次是（）A日冕、色球、光球B色球、光球、日冕C日冕、光球、色球D光球、色球、日冕
高中 生物 生物科学与社会 避孕的原理和方法 减数分裂的概念 人工授精、试管婴儿等生殖技术 生物性污染 减数分裂与有丝分裂的比较,下列甲、乙分裂过程中产生配子时发生的变异图解，请判断下列说法正确的是（）A甲图中发生了基因突变，乙图中发生了基因重组B甲图中的a基因是由于交叉互换造成的C甲图发生的变异时间在减数第二次分裂间期D乙图造成的变异是发生在减数第一和第二次分裂过程中
高中 生物 生物技术实践 生物技术在其他方面的应用 复等位基因 基因工程的概念 基因工程的原理及技术,下列有关基因工程相关工具的描述，正确的是（）A限制酶能识别并切割DNA任意序列BDNA连接酶与Taq酶作用位点不同C没有与目的基因重组的质粒也可以进入受体细胞D使用质粒运载体可以避免目的基因在受体内被分解
高中 地理 宇宙中的地球 地球运动的基本形式,"关于地球自转特点的叙述,正确的是()A从北极上空看,地球呈顺时针方向旋转B一个太阳日地球自转360°C一个恒星日是24小时D太阳日比恒星日稍长"
高中 地理 宇宙中的地球 地球运动的地理意义,当太阳直射在东经120度经线上，北京（东经116度）的地方时是（）A12时B12时16分C11时44分D11时56分
高中 生物 稳态与环境 群落的结构,下列关于种群数量的叙述中，错误的是（）A.种群数量的变化包括增长、波动、稳定和下降B.种群数量的变化主要取决于迁入率、迁出率、出生率和死亡率C.在自然状态下，种群增长一般呈“J”型曲线D.在自然状态下，种群增长一般呈“S”型曲线
高中 地理 宇宙中的地球 地球运动的基本形式,地球位于公转轨道上的远日点时（）A阳光直射在北回归线上B阳光直射在南回归线上C北半球正值夏季D北回归线以北正午太阳高度最大值
高中 生物 生物科学与社会 避孕的原理和方法 伴性遗传 遗传的分子基础 遗传的细胞基础 人工授精、试管婴儿等生殖技术 生物性污染,果蝇的体细胞中共有8条染色体，并且性别决定方式为XY型，则果蝇卵细胞中的染色体组成是（）A3条常染色体+XB3条常染色体+YC6条常染色体+XYD6条常染色体+X
高中 生物 生物科学与社会 避孕的原理和方法 遗传的分子基础 遗传的细胞基础 人工授精、试管婴儿等生殖技术 生物性污染 基因的自由组合规律的实质及应用,基因的自由组合定律发生于图中哪个过程（）A①B①②C①②③D①②③④
高中 历史 近代史 清末民主革命风潮,“争取一省与几省首先胜利，……没有工人阶级的罢工高潮，没有中心城市的武装暴动，决不能有一省或几省的胜利。不特别注意城市工作、想以‘乡村包围城市’，‘单凭红军来夺取城市！’是一种极错误的观念。”对上述材料理解最准确的是（）A.中国革命必须走中心城市武装暴动的道路B.工农武装割据正确革命道路尚未被全党认可C.大革命失败后，中国革命仍处于高潮D.中共没有找到一条正确革命道路
高中 生物 生物科学与社会 避孕的原理和方法 拉马克的进化学说 减数分裂的概念 人工授精、试管婴儿等生殖技术 生物性污染 减数分裂与有丝分裂的比较,如图1、图2表示某种生物的部分染色体发生变异的示意图，①和②，③和④互为同源染色体，则两图所示的变异（）A均为染色体结构变异B基因的数目和排列顺序均发生改变C均使生物的性状发生改变D均可发生在减数分裂过程中
高中 生物 生物技术实践 生物技术在其他方面的应用,下列有关生态工程的原理和实例中，错误的是（）选项有关事例相关的生态工程原理A无废弃物农业遵循物质循环再生原理B在人工林中增加植被的层次遵循物种多样性原理C无锡太湖水体富营养化引起大面积水华违反协调与平衡原理D前面造林，后面砍林违反系统学和工程学原理AABBCCDD
高中 地理 生产活动与地域联系 农业区位因素,华北平原是典型的传统旱作农业区，制约该地区农业生产的自然条件是（）A水源B地形C热量D交通
高中 生物 生物科学与社会 避孕的原理和方法 遗传的分子基础 遗传的细胞基础 人工授精、试管婴儿等生殖技术 生物性污染 基因的分离规律的实质及应用,在孟德尔进行的一对相对性状的实验中，不具有1：1比例的是（）A杂种产生配子类型的比例B杂种测交后代的性状分离比C杂种自交后代遗传因子组成的比例D杂种测交后代遗传因子组成的比例
高中 生物 生物科学与社会 避孕的原理和方法 伴性遗传 遗传的分子基础 遗传的细胞基础 人工授精、试管婴儿等生殖技术 生物性污染,美国遗传学家摩尔根对孟德尔的遗传理论和萨顿的假说始终持怀疑态度．于是，继孟德尔之后，他又利用果蝇进行了遗传研究．一次他在野生型红眼果蝇原种培养瓶中偶然发现了一只白眼的雄果蝇．就此他做了下列实验：实验一：将该白眼雄果蝇与野生型的红眼雌果蝇交配，其Fl无论雌、雄都是红眼．Fl的红眼雌果蝇与红眼雄果蝇杂交产生的F2中，红眼：白眼=3：1；雌性：雄性=1：1．但是，白眼性状只限于雄蝇．实验二：用最初那只白眼雄蝇与实验一中的Fl雌蝇交配，结果得到了红眼（雌）：红眼（雄）：白眼（雌）：白眼（雄）．请依据上述实验回答下列问题：1.实验一中眼色的遗传是否符合分离定律？；实验完成后，摩尔根提出了一个疑问：白眼性状为什么总是与性别相联系？于是，摩尔根又作了大胆的设想，他的设想是．2.通过上述实验，摩尔根运用的方法，把一个特定的基因和一条特定的染色体﹣X染色体联系起来，从而用实验证明了．3.根据摩尔根的系列实验并结合所学知识，请你再设计一组实验，选择亲本表现型为的果蝇杂交，可以通过后代的眼色直接判断出果蝇的性别．
高中 地理 宇宙中的地球 地球运动的地理意义,我国某学校在如图所示地区于北京时间9：28举行运动会。在长跑比赛中当某运动员位于跑道上P点且身影朝向如图所示时，运动会已进行了（）A4时22分钟B4时12分钟C3时22分钟D3时12分钟
高中 生物 生物科学与社会 避孕的原理和方法 遗传的分子基础 遗传的细胞基础 人工授精、试管婴儿等生殖技术 生物性污染,下列属于一对相对性状的是（）A.豌豆的高茎与矮茎B.小鼠的白毛和家兔的黑毛C.人的身高与体重D.番茄的红色果实与圆形果实
高中 地理 人口与城市 人口增长与人口问题,全球人口数量变动，主要取决于（）A人口出生率B人口死亡率C人口自然增长率D人口机械增长率
高中 地理 宇宙中的地球 地球运动的基本形式,关于地球自转特点的叙述，正确的是（）A从北极上空看，地球呈顺时针方向转B一个太阳日地球自转360°C一个恒星日是24小时D太阳日比恒星日稍长
高中 地理 宇宙中的地球 太阳对地球的影响,读“世界局部地区气候分布图”，回答下列问题。1.说出A岛东部的气候类型，并分析其形成原因。2.分析P地多洪涝灾害的原因。3.B成为我国太阳辐射能丰富地区的原因。
高中 生物 分子与细胞 溶酶体的结构和功能 高尔基体的结构和功能 中心体的结构和功能 液泡的结构和功能 内质网的结构和功能 核糖体的结构和功能 走进细胞,把一个细胞中的磷脂分子全部提取出来，在空气和水界面上将它们铺成单分子层(假定单分子间距离适当且相等)。推测在下列细胞中，空气和水界面上磷脂单分子层的表面积与原细胞的表面积之比最小的细胞是（）A.蛙的红细胞B.人体浆细胞C.乳酸菌细胞D.酵母菌细胞
高中 地理 宇宙中的地球 地球运动的基本形式,下列各地中，每年两次受到太阳直射的是（）A20°N，30°EB25°N，25°EC23.5°S，60°ND40°S，120°W
高中 生物 稳态与环境 人体免疫系统在维持稳态中的作用 免疫系统的功能 体液免疫的概念和过程 免疫系统的组成 内环境的稳态,人类免疫缺陷病毒（HIV）有高度变异性，感染机体后可损伤多种免疫细胞，并通过多种机制逃避免疫系统识别和攻击．下列相关叙述错误的是（）AHIV感染人群比健康人群更易患甲型H1N1流感BHIV的高度变异性，致使疫苗效果难以持久C被HIV潜伏感染的细胞表面没有HIV蛋白，利于病毒逃避免疫系统识别和攻击DHIV破坏免疫系统，机体无体液免疫应答，不能通过检测抗体来诊断HIV感染
高中 生物 稳态与环境 内环境的稳态,在人体内环境中可以发生的生理过程是（）A.抗体与相应的抗原发生特异性的结合B.合成生长激素、胰高血糖素C.O2与血红蛋白结合形成氧合血红蛋白D.食物中的淀粉经消化分解成葡萄糖
高中 生物 生物科学与社会 生物技术在其他方面的应用,草鱼主要以水草为食，鲢鱼主要滤食浮游动植物及草鱼的粪便，鲤隹主要摄食痗栖昆虫等．为了探究高产鱼池中草鱼、鲢鱼的合理结构，科研人员研究了“一草带三鲢”（A方式）和“三草带一鲢”（B方式）两种混养方式，实验结果如表．分析回答：混养方式A方式B方式放养密度/尾•ha﹣1草鱼30009000鲢鱼90003000鲤鱼900900投饲量和追肥量/kg•ha﹣1氮肥、磚肥1.8×1030青草料4.85×1041.17×105光能量利用率/%5.7610.85青草料利用率/%10.1313.89水体能见度/cm2030鱼产量/kg•ha﹣17515114901.鲢鱼、草鱼、鲤鱼生活在不同的水层中，可以充分利用养殖水体的，体现了群落的结构．2.草鱼、鲢鱼混养主要应用的生态工程原理是，草鱼同化的能量除用于外，还用于自身的生长发育、繁殖．3.与B方式相比，A方式下需要施用氮肥、磷肥，其目的是，以满足鲢鱼的食物需求，这种模式可能造成的负面影响是．4.与A方式相比，B方式混养方式下草鱼、鲢鱼的结构更合理，判断依据是（至少写两点）．
高中 生物 分子与细胞 溶酶体的结构和功能 高尔基体的结构和功能 中心体的结构和功能 液泡的结构和功能 内质网的结构和功能 核糖体的结构和功能 走进细胞,将水稻培养在含有各种营养元素的培养液中，发现水稻吸收硅多，吸收钙少．这是因为水稻根的细胞膜（）A.吸附硅的能力强，吸附钙的能力弱B.运载硅的载体多，运载钙的载体少C.吸收硅的方式是自由扩散，吸收钙的方式是主动运输D.吸收硅不需要能量，吸收钙需要能量
高中 生物 分子与细胞 溶酶体的结构和功能 与细胞分裂有关的细胞器 高尔基体的结构和功能 中心体的结构和功能 液泡的结构和功能 内质网的结构和功能 核糖体的结构和功能 走进细胞,下图中甲、乙为植物叶肉细胞中的两种膜结构。下列有关叙述中，不正确的是（）A.甲、乙分别存在于叶绿体和线粒体中B.甲膜中的色素分子可用无水乙醇提取C.乙中[H]来自葡萄糖在线粒体中的分解D.甲、乙上反应由各自不同的酶催化
高中 生物 稳态与环境 人体免疫系统在维持稳态中的作用 免疫系统的功能 体液免疫的概念和过程 免疫系统的组成 内环境的稳态,2011年4月的“阴性艾滋病事件”引发社会各界关注，据说一种被称为阴性艾滋病的神秘病毒可通过唾液与血液传播，其感染途径与艾滋病相似，由此加重了人们的“恐艾”．关于艾滋病病毒，下列叙述正确的是（）A艾滋病病毒是一种单细胞生物，在分类上属于原核生物B由于艾滋病病毒只有核糖体一种细胞器，所以其营寄生生活C获取大量艾滋病病毒的方法是将其接种在营养物质齐全的培养基上培养D艾滋病病毒通过感染人体淋巴细胞而使免疫系统出现缺陷
高中 生物 生物科学与社会 避孕的原理和方法 遗传的分子基础 遗传的细胞基础 人工授精、试管婴儿等生殖技术 生物性污染 基因的分离规律的实质及应用,科研人员为探究某处鲤鱼体色的遗传，做了如下实验：用黑色鲤鱼和红色鲤鱼杂交，F1全为黑鲤，F1个体自由交配结果如下表所示．根据实验结果，下列推测错误的是（）杂交组F2总数F2性状的分离情况黑鲤红鲤黑鲤：红鲤11699159210714.88：12154614509615.10：1A鲤鱼体色中的黑色是显性性状B鲤鱼的体色由细胞核中的基因控制C鲤鱼体色的遗传遵循自由组合规律DF1与隐性亲本杂交，后代中黑鲤和红鲤的比例为1：1
高中 生物 分子与细胞 蛋白质的合成 组成细胞的化学元素 组成细胞的化合物,对生物组织中还原糖、脂肪和蛋白质进行鉴定的实验中，正确的方法与结果是()A.大豆组织样液(2mL)+斐林试剂甲液(2mL)+斐林试剂乙液(2mL)溶液呈紫色B.苹果组织样液(2mL)+双缩脲试剂A液(2mL)+双缩脲试剂B液(2mL)溶液呈橘黄色C.花生子叶+苏丹Ⅲ染液(2mL)脂肪颗粒呈红色D.苹果组织样液(2mL)+(斐林试剂甲液+斐林试剂乙液)(1mL)溶液中有砖红色沉淀
高中 生物 生物科学与社会 避孕的原理和方法 遗传的分子基础 遗传的细胞基础 人工授精、试管婴儿等生殖技术 生物性污染 基因的自由组合规律的实质及应用,鳟鱼的眼球颜色和体表颜色分别由两对等位基因A，a和B，b控制．现以红眼黄体鳟鱼和黑眼黑体鳟鱼为亲本，进行杂交实验，正交和反交结果相同．实验结果如图所示．请回答：1.亲本中的红眼黄体鳟鱼的基因型是．2.已知这两对等位基因的遗传符合自由自合定律，理论上F2还应该出现性状的个体，但实际并未出现，推测其原因可能是基因型为的个体本应该表现出该性状，却表现出黑眼黑体的性状．3.为验证（2）中的推测，用亲本中的红眼黄体个体分别与F2中个体杂交，统计每一个杂交组合的后代性状及比例．只要其中有一个杂交组合的后代，则该推测成立．4.科研人员以亲本中的黑眼黑体鳟鱼为父本，以亲本中的红眼黄体鳟鱼为母本，进行人工授精．用热休克法抑制受精后的次级卵母细胞排出极体，受精卵最终发育成倍体黑眼黄体鳟鱼，其基因型是．这种变异鳟鱼品质优良，广受消费者青睐，但由于其在减数分裂过程中，难以产生正常配子，导致其高度不育，因此每批次鱼苗均需重新育种．
高中 生物 稳态与环境 激素调节,下列关于植物激素的说法，不正确的是（）A.植物激素是一类化学物质B.植物激素在植物体内含量很少C.植物激素不直接参与细胞内的代谢活动D.植物激素促进植物生长
高中 历史 近代史 第三产业的兴起和“新经济”的出现 垄断组织的出现,钱乘旦评价某一件事时说：“它接受现代化，但只接受它的形式，它接受现代化是为了控制现代化，让它为维护传统的价值取向服务。”这一事件（）A.开启了中国近代化进程B.实现了自强求富目的C.促进了民族工业初步发展D.以建立民主制为目标
高中 历史 近代史 第三产业的兴起和“新经济”的出现 垄断组织的出现,1931年10月5刊登在《申报》上的美丽牌香烟广告，分别有以下文字，“国人爱国，请用国货”“有美皆备，无丽不臻”“请国人注意东北形势”“外辱日亟”并配有香烟的图案和东北地图，这表明（）A.列强经济侵略的重心在东北地区B.民众对抗日战争的胜利满怀信心C.中国民族卷烟业的发展异常艰难D.商品销售中蕴含抗日救国的思想
高中 生物 生物科学与社会 避孕的原理和方法 遗传的分子基础 遗传的细胞基础 人工授精、试管婴儿等生殖技术 生物性污染 基因的自由组合规律的实质及应用,已知鼠的毛色受两对基因（，）控制，现将黑色雄鼠与多只白色雌鼠杂交，得到的F1全为黑色，再将F1相互交配产生的F2有三种表型：黑色、棕色、白色，比例为9：3：4，继续将F2中的黑色个体自由交配得F3．以下说法错误的是（）A两亲本的基因型分别为AABB、aabbB理论上讲，F2中存在四种基因型的黑色个体CF3中A的基因频率为D若让F2中的棕色个体与白色个体杂交，后代中白色个体占
高中 政治 公民道德与伦理常识 社会主义市场经济的伦理要求,在发达国家，工资一般占企业运营成本的50%左右，而在中国还不到10%。在发达国家，劳动报酬在国民收入中所占的比重一般在55%以上，在中国则不到42%，这给我们的启示有[]①要保证企业收入在初次分配中占合理比重②建立企业职工工资正常增长机制和支付机制③要充分发挥再分配在企业职工工资增长中的作用④要维护好劳动者的相关权利A①②B②④C①②④D②③④
高中 政治 公民道德与伦理常识 社会主义市场经济的伦理要求 劳动就业与守法经营,节能20%是我国“十一五”期同重要的工作目标。2007年7月28日．全国40多家民间环保组织在北京共同发起了“节能20％公民行动”。这是一项旨在以倡导低能耗生活方式和消费方式为核心的公民联合行动。这一事实说明A家庭生活消费必须与家庭收入相适应B物质消费与精神消费要协调C生产决定消费水平和消费方式D个人生活消费关系到社会和集体的利益
高中 生物 稳态与环境 细胞大小与物质运输的关系,如图为氨基酸和Na+进出肾小管上皮细胞的示意图．下列相关叙述正确的是（）A主动转运过程所需能量均由ATP提供B氨基酸和Na+进出肾小管上皮细胞时载体蛋白的形状均会发生改变C氨基酸从上皮细胞到组织液的方式是细胞最重要的吸收或排出物质的方式D由上图可知线粒体在肾小管上皮细胞中均匀分布
高中 生物 分子与细胞 生命活动离不开细胞 细胞有丝分裂不同时期的特点,有关动物细胞有丝分裂的叙述，正确的是（）A.细胞板在细胞有丝分裂末期形成B.纺锤丝在分裂前期形成纺锤体C.在分裂末期，细胞膜内陷形成两个子细胞D.在分裂中期，两个中心粒复制形成两组中心粒
高中 生物 稳态与环境 内环境的稳态,测得家兔在正常状态下和三种不同方法处理后的动脉血压变化曲线如图，下列分析正确的是（）A测量血压可选择在颈动脉和毛细血管等部位B刺激减压神经中枢端可能使降压反射活动减弱C夹闭颈动脉使颈动脉血压下降，心血管中枢兴奋D注射去甲肾上腺素的作用可能使心率增加，外周阻力上升
高中 生物 遗传与进化 拉马克的进化学说,下列关于变异的叙述中，正确的是（）A.基因突变一定能够改变生物的表现型B.发生在生物体体细胞内的基因突变一般不能传给子代，属于不可遗传的变异C.基因重组是生物变异的重要来源，一般发生在有性生殖的过程中D.在减数分裂间期，果蝇Ⅱ号染色体上缺失了一个碱基对，这种变异属于染色体变异
高中 生物 遗传与进化 避孕的原理和方法 遗传的分子基础 遗传的细胞基础 人工授精、试管婴儿等生殖技术 生物性污染 基因的自由组合规律的实质及应用,将株高70cm的小麦（以下株高值代表相应的植株）和50cm杂交，F1自交得到F2，F2中70cm：65cm：60cm：55：50cm的数量比例约为1:4:6:4:1。下列叙述中，错误的是（）A.F1只有一种基因型，F2中60cm有三种基因型B.若F1与50cm杂交，理论上杂交后代的表现型比例为1:2:1C.若60cm杂合子和65cm杂交，理论上杂交后代中60cm的比例为1/4D.若F2中60cm随机授粉，理论上自由交配后代中70cm的比例为1/36
高中 生物 分子与细胞 溶酶体的结构和功能 与细胞分裂有关的细胞器 高尔基体的结构和功能 中心体的结构和功能 液泡的结构和功能 内质网的结构和功能 核糖体的结构和功能 走进细胞,植物细胞壁的形成与高尔基体有关，由此说明了高尔基体()A.具有合成多糖的能力B.具有合成蛋白质的能力C.具有合成磷脂的能力D.具有合成细胞膜的能力
高中 生物 生物技术实践 生物技术在其他方面的应用 培养基与无菌技术,在利用动物细胞融合技术制备单克隆抗体时，不需要考虑（）A.选择的小鼠必须是纯种B.用同种抗原多次注射小鼠C.细胞融合时加入促融剂D.需经筛选后，再进行大规模培养
高中 生物 稳态与环境 内环境的稳态,人和动物的新陈代谢的化学反应主要发生在（）A.消化道内B.血液C.细胞内D.肾脏内
高中 生物 稳态与环境 内环境的稳态,以下关于人体激素及其调节的叙述不正确的是（）A激素是信息分子，成分都是有机物B激素直接参与细胞内的许多代谢活动C激素只作用于相应的靶器官、靶细胞D神经系统的某些结构也可以释放激素
高中 地理 生产活动与地域联系 农业区位因素,下图示意某国某农场一年中的工作历。据此完成下列问题。1.该农场位于（）A.西欧平原B.阿根廷潘帕斯平原C.湄公河平原D.加拿大中部平原2.影响该地区农业发展主要的不利因素为（）A.热量不足B.水源不足C.劳动力不足D.土壤贫瘠
高中 生物 稳态与环境 内环境的稳态,以下关于内环境稳态的说法不正确的是（）①稳态就是指内环境的各种理化性质处于绝对稳定状态②人体各器官、系统协调一致地正常运行，是维持内环境稳态的基础③内环境稳态的调节机制的现代观点是神经﹣体液﹣免疫调节机制④人体维持稳态的调节能力是很强的，即使外界环境剧变，人体也能保持稳态的平衡．A①②B②④C②③D①④
高中 生物 生物技术实践 生物工程技术,关于测定亚硝酸盐含量实验操作的有关叙述，正确的是（）A泡菜制作需要配制盐水，其中盐与水的质量比为5：1B在盐酸酸化条件下，亚硝酸盐与对氨基苯磺酸发生重氮化反应形成玫瑰红色染料C制备样品处理液，加入氢氧化铝乳液的目的是去除色素等杂质，澄清溶液D泡菜腌制时间的长短会影响亚硝酸盐含量，温度和食盐的用量不影响
高中 地理 宇宙中的地球 地球的外部圈层结构及特点 地球的内部圈层结构及特点,莫霍面上下两侧名称分别是()A地幔和地壳B岩石圈和地壳C地幔和地核D地壳和地幔
